,question,business,number_of_answers
43,Are most of the dinner items offered during brunch as well?,Bacchanal Buffet,5
44,Are private rooms offered for parties?,Studio B Buffet,5
45,Are raw oysters served at lunch or only at dinner? Just trying to find a time to work it into our itinerary.,Bacchanal Buffet,5
46,Are reservations required for the bar?  Is a the full menu available in the bar?,Gordon Ramsay Steak,5
47,Are the crab legs warm and are they split during Sunday brunch?,Bacchanal Buffet,5
48,Are the dishes the same from 7a-10p weekdays and weekends?,Bacchanal Buffet,5
49,Are the gluten-free options noted on the website menu?,Carson Kitchen,5
50,Are the king crabs steamed and warm?,Bacchanal Buffet,5
51,Are the mimosas and bloody Mary's only offered during brunch? Or do they still have it during dinner?,Studio B Buffet,5
52,Are the portions family style?,Nora's Italian Cuisine,5
53,Are the resort rooms nice? no pictures in website...,Bally's Las Vegas Hotel & Casino,5
54,Are the rooms walls thin in other words can you heat neighbors tv etc?,The LINQ Hotel & Casino,5
55,Are the seats good anywhere in the tent? Looking at seating in the Green Fairy Gallery area. Thanks!,Absinthe,5
56,Are the snowcrab legs here steaming hot or served on ice? Asking because I prefer them steaming hot...,Bacchanal Buffet,5
57,Are the steamed crab legs also pre-cracked?,Bacchanal Buffet,5
58,Are the weekend menu prices higher than weekdays?,Gangnam Asian BBQ Dining,5
59,Are there a lot of vegetarian options?,Bacchanal Buffet,5
60,Are there air coolers for outside dining in the early evening?,Mon Ami Gabi,5
61,Are there any TVs to show Nfl games?,Bacchanal Buffet,5
62,Are there any animals in this show?,Cirque du Soleil - O,5
63,Are there any non-alcoholic dessert options? or is there an option to have the desserts on the menu made without alcohol?,Eiffel Tower,5
64,Are there crab legs for the lunch buffet?,The Buffet at Bellagio,5
65,Are there fewer choices during the early bird special? Are crab legs and prime rib available at that time of morning?,Bacchanal Buffet,5
66,"Are there gluten free options? (asking for a friend, I am not sure how strict it needs to be)",Bacchanal Buffet,5
67,Are there king crab legs available Friday during dinner?,Bacchanal Buffet,5
68,Are there large group accommodations?,Bacchanal Buffet,5
69,"Are there lobsters at the Bacchanal Buffet? What's the difference the regular entrance and the extra fee for the ""seafood tower""?",Bacchanal Buffet,5
70,Are there long lines on Saturdays for brunch?,Wicked Spoon,5
71,Are there many Vegan options?,Bacchanal Buffet,5
72,Are there many vegan options?,The Buffet at Bellagio,5
73,Are there raw oysters on the buffet?,Wicked Spoon,5
74,Are there still lunch specials if the happy hour is now 12p-7p?,Soho Japanese Restaurant,5
75,Are there vegan options for lunch?,Four Peaks Brewing,5
76,Are there vegan or non meat/non dairy breakfast items?,Hash House A Go Go,5
77,Are there vegetarian options?,Mon Ami Gabi,5
78,Are there vegetarian options?,Wicked Spoon,5
79,Are they open on Thanksgiving?,Mon Ami Gabi,5
80,Are weekday dinner buffet any different form weekend dinner buffet?,Bacchanal Buffet,5
81,"Are you open Jan 1, 2020 for lunch?",Nora's Italian Cuisine,5
82,"As of 2019, are there crab legs during weekday lunch? Or just dinner? Or only on weekends?",Wicked Spoon,5
83,Best Bloody Mary in Las Vegas?,Mesa Grill,5
84,Best location for parking? Free is even better,Jean Philippe Patisserie,5
85,Best place to park?,The Peppermill Restaurant & Fireside Lounge,5
86,Best restaurants at the airport?,Charlotte Douglas International Airport,5
87,Best salad on the menu?,HEXX kitchen + bar,5
88,Best take out Pizza s. Vegas strip?,Secret Pizza,5
89,Best time to do this with a 4 year old?,High Roller,5
90,Breakfast at the buffet and the price?,Studio B Buffet,5
91,Can 3 people share the 2-person menus?,Gangnam Asian BBQ Dining,5
92,Can I bring a dog to sit in the patio?,Mon Ami Gabi,5
93,Can I bring my dog on the high roller? He's not a service dog though...,High Roller,5
94,Can I bring my dog with me?,Gaucho Parrilla Argentina,5
95,"Can I bring my own wine? If yes, how much will I be charged for the corkage fee?",Mon Ami Gabi,5
96,"Can I find ""Vegas t shirts there, how much is the zip lining?",Fremont Street Experience,5
97,Can I get any noodle dishes besides chap jae?,Gen Korean BBQ House,5
98,Can I have a bottle of vodka or alcohol in my purse?,High Roller,5
99,Can I make a reservation at 10 pm for dessert and drinks only?,Eiffel Tower,5
100,Can I make a reservation?,Bacchanal Buffet,5
101,Can I order off the lunch menu on a Sunday at 11am instead of the brunch menu? I am not a big breakfast food eater. Thanks.,Mon Ami Gabi,5
102,Can I reserve for a party of 20 for Saturday night dinner and who do I contact?,Studio B Buffet,5
103,"Can I show up at 4:00 PM on Thursday and pay the brunch price, but get crab legs at 5:00 PM when the dinner options are available?",Wicked Spoon,5
104,Can I take a cooler into the LINQ?,The LINQ Hotel & Casino,5
105,Can a 5 year old child ride the high roller?,High Roller,5
106,Can an 18 year old eat here?,STK Las Vegas,5
107,Can anyone tell the average cost of a dinner entree? Having a family dinner for about 18 people.,HEXX kitchen + bar,5
108,Can make a reservation?,Ichiza,5
109,Can someone explain the rule of unfinished food? Do customers literally have to finish every single plate in full? Are the servings large?,Gen Korean BBQ House,5
110,Can someone post the pricing please?,Wicked Spoon,5
111,"Can u get tix at box office before the show?
Do they ever discount them if show not as out?",Absinthe,5
112,Can we have a dinner with 20-25 people without a set menu?,Mon Ami Gabi,5
113,Can we just go to the bar for drinks and appetizers?,TAO Asian Bistro,5
114,Can we make reservations for party of 9?,Gangnam Asian BBQ Dining,5
115,Can you bring a drink?,High Roller,5
116,Can you bring in an alcoholic beverage or are you required to order them from inside the pod?,High Roller,5
117,Can you bring your own tubes for lazy river?,MGM Grand Hotel,5
118,"Can you bring your own wine and pay a corkage fee?  If so, what is the fee per bottle?",Nora's Italian Cuisine,5
119,Can you buy the gift card at Lettuce Entertain You and use it at the vegas location?,Mon Ami Gabi,5
120,Can you cook the meat for the customers? Or does everyone have to cook Themselves?,Gangnam Asian BBQ Dining,5
121,Can you have a couple beverages while waiting in line like you can at Franklins?,Little Miss BBQ,5
122,"Can you let me know roughly what time one would have to get there on a Saturday to minimize their wait? I've just heard about this place and would love to try it out, don't even mind waiting either if the food is as good as it looks.",Little Miss BBQ,5
123,Can you order drinks?,Absinthe,5
124,Can you order off of the lunch menu for dinner?,Mon Ami Gabi,5
125,Can you order steak well done?,Gaucho Parrilla Argentina,5
126,Can you plug a device like a fire stick or Xbox to the tvs in the rooms?,The LINQ Hotel & Casino,5
127,Can you request a window table?,Eiffel Tower,5
128,Can you smoke weed on Fremont street?,Fremont Street Experience,5
129,Can you stay from brunch to dinner?,Bacchanal Buffet,5
130,Can you stay from lunch to dinner at wicked spoon?,Wicked Spoon,5
131,Can't decide Wicked Spoon or here for my first experience. Wicked spoon looks like it's got better food varieties from photos?,Studio B Buffet,5
132,Cheapest bar for drinks?,Charlotte Douglas International Airport,5
133,Christmas Eve price?,Bacchanal Buffet,5
134,Christmas dinner price? Are the lines usually long during the holiday season?,Bacchanal Buffet,5
135,Corkage fee and limits?,Nora's Italian Cuisine,5
136,Corkage fee for wine?,Gangnam Asian BBQ Dining,5
137,"Could you explain how the Kiosks work for holding your place in line? Looking to visit for Thanksgiving 2018. Also if you could provide the pricing for this year, that would be much appreciated!",Bacchanal Buffet,5
138,Cuanto cuestael dinner alguien me puede contestar porfavor😁?,Bacchanal Buffet,5
139,Delivery,Chino Bandido,5
140,Dinner price for child age 4?,Bacchanal Buffet,5
141,Directions to show?,Absinthe,5
142,Do I have to have a Four Peaks growler or can I bring my own (metal) and get it filled?,Four Peaks Brewing,5
143,Do I need to make a reservation?,Gaucho Parrilla Argentina,5
144,Do all of the rooms come equipped with a little kitchen and also a jacuzzi tub?,The Signature at MGM Grand,5
145,Do all the rooms come with the jacuzzi tubs or only the suites?,The Signature at MGM Grand,5
146,Do any rooms have a microwave?,Westgate Las Vegas Resort & Casino,5
147,Do headliner DJs like Steve Aoki start playing after 1am or when the doors open at 11pm?,Hakkasan Nightclub,5
148,Do i need a players card to get the dinner price?,Studio B Buffet,5
149,Do kids eat free?,Gen Korean BBQ House,5
150,Do locals get a discount?,Bacchanal Buffet,5
151,Do the my serve crab legs at dinner and how much is it on the weekend?,Wicked Spoon,5
152,Do the pool pods come with a safe?,MGM Grand Hotel,5
153,Do the rooms come with fridges and microwaves?,MGM Grand Hotel,5
154,Do the rooms have microwaves?,The LINQ Hotel & Casino,5
155,Do the rooms have refrigerators?,The LINQ Hotel & Casino,5
156,Do the signature rooms have a microwave in them?,Westgate Las Vegas Resort & Casino,5
157,Do they ID you for the open bar pod? Im here in Vegas for another 4 days and want to go on this with a few girlfriends but unfortunately lost my Wallet with ID in it last night.,High Roller,5
158,Do they accept walk-ins? Is there dining at the bar?,Gordon Ramsay Steak,5
159,Do they allow dogs in any room or only specific rooms/towers? Also will they weigh him?,Bally's Las Vegas Hotel & Casino,5
160,Do they allowed kids or baby to go eat there too?,Le Thai,5
161,Do they always have crab legs for dinner?,Bacchanal Buffet,5
162,Do they always have macaroons at bacchanal?,Bacchanal Buffet,5
163,"Do they change up the acts often?  I saw the show in March 2018.  I'd like to see it again in March 2019, but not if all of the acts are the same.",Absinthe,5
164,Do they charge a corkage fee?,STK Las Vegas,5
165,Do they charge for beverages now?,The Buffet at Bellagio,5
166,Do they charge for parking?,Bally's Las Vegas Hotel & Casino,5
167,Do they cook for customers or customers cook their own?,Gangnam Asian BBQ Dining,5
168,Do they deliver?,Gaucho Parrilla Argentina,5
169,Do they do anything special for anniversary's?,Bally's Las Vegas Hotel & Casino,5
170,Do they fill growlers?,Four Peaks Brewing,5
171,Do they give M life discounts?,Bacchanal Buffet,5
172,Do they give you a hand stamp to access seafood for dinner only like carnival buffet?,Bacchanal Buffet,5
173,Do they have $5 craps tables?,"South Point Hotel, Casino & Spa",5
174,Do they have Daiya or vegan cheese?,Secret Pizza,5
175,Do they have Gluten Free options?,Little Miss BBQ,5
176,Do they have Gluten-Free Breakfast options?,Joe's Farm Grill,5
177,Do they have Waygu beef during the week for dinner?,Bacchanal Buffet,5
178,Do they have a bottomless mimosas option for weekend brunch?,Mon Ami Gabi,5
179,Do they have a caviar buffet?,The Buffet at Bellagio,5
180,Do they have a fitness center? Is there a fee to use the gym only?,Bally's Las Vegas Hotel & Casino,5
181,Do they have a gluten free/celiac friendly menu?,HEXX kitchen + bar,5
182,Do they have a gym?,The LINQ Hotel & Casino,5
183,Do they have a tasting menu?,Mesa Grill,5
184,Do they have all you can eat lobster?,The Buffet at Bellagio,5
185,Do they have an omakase and how much does it cost?,Raku,5
186,Do they have bluegrass brunch every Sunday?,Cornish Pasty,5
187,Do they have bone marrow in the buffet?,The Buffet at Bellagio,5
188,Do they have children price?,Bacchanal Buffet,5
189,Do they have cooked oysters?,Bacchanal Buffet,5
190,Do they have crab leg on Weekday dinner? how much for 1 person for Weekday dinner? I am looking for a good buffet have seafood on Weekday in Las Vegas? Wicked Spoon is a good one?,Wicked Spoon,5
191,Do they have crab leg on weekdays lunch time?,Studio B Buffet,5
192,Do they have crab legs during their weekday lunch buffet?,The Buffet at Bellagio,5
193,Do they have crab legs everyday?,The Buffet at Bellagio,5
194,Do they have crawfish on week day?,Studio B Buffet,5
195,"Do they have curry dishes? I didn't see them on the menu.

Also, I don't see hours or days open. They appear to be closed right now on a Sunday eve. Thanks!",Le Thai,5
196,Do they have different menus for weekday dinner and weekend dinner?,Bacchanal Buffet,5
197,Do they have gluten free options?,Secret Pizza,5
198,Do they have happy hour? What are hours & what kind of food?,Citizen Public House,5
199,"Do they have heat lamps outside? Going to Vegas in January and want to watch the Bellagio fountains, I know Hexx has an outdoor patio. Thanks.",HEXX kitchen + bar,5
200,Do they have king crab every night?,Bacchanal Buffet,5
201,Do they have king crab legs daily? Or certain days only,The Buffet at Bellagio,5
202,Do they have king crab or snow crab on their buffet?,The Buffet at Bellagio,5
203,Do they have lobster n their buffet?,The Buffet at Bellagio,5
204,Do they have lobster?,Bacchanal Buffet,5
205,Do they have locals discounts?,Bacchanal Buffet,5
206,Do they have macaroons at dinner?,Bacchanal Buffet,5
207,Do they have more alcohol than beers?,Four Peaks Brewing,5
208,Do they have pancakes during the brunch?,Wicked Spoon,5
209,Do they have rice paper?,BBQ House,5
210,Do they have rooms with 2 queen beds?,The Signature at MGM Grand,5
211,Do they have snow crab legs on weekday dinner?,Studio B Buffet,5
212,Do they have the Bone Marrow here during brunch?,Wicked Spoon,5
213,Do they have unlimited mimosas as a brunch option?,Mon Ami Gabi,5
214,"Do they have warm crab legs here, like large ones?",Bacchanal Buffet,5
215,Do they offer Netflix on the TVs yet?,Bally's Las Vegas Hotel & Casino,5
216,Do they offer Separate Checks ? We're going with a big party.? It will be a party of 20 or more.,The Peppermill Restaurant & Fireside Lounge,5
217,Do they offer a military discount on the buffet?,Wicked Spoon,5
218,Do they offer bottomless drinks during weekdays for both brunch and dinner?,Wicked Spoon,5
219,Do they offer cold already peeled shrimp on there seafood nights?,Studio B Buffet,5
220,Do they offer discounts for children (under 12)?,Bacchanal Buffet,5
221,Do they offer king crab on weekdays?,Bacchanal Buffet,5
222,"Do they offer king crabs and if so, when?",Bacchanal Buffet,5
223,Do they offer lobster on the weekend?,Studio B Buffet,5
224,Do they offer locals discount?,Bacchanal Buffet,5
225,"Do they offer salmon sushi and sashimi, and how is the quality?",Bacchanal Buffet,5
226,Do they offer takeout?,Le Thai,5
227,Do they offer unlimited mimosas (brunch) or drinks?,The Peppermill Restaurant & Fireside Lounge,5
228,Do they offer vegetarian options?,Gen Korean BBQ House,5
229,Do they only have crab served with dinner on the weekends? Or weekdays too?,Studio B Buffet,5
230,Do they only serve KING crab legs on the weekends?,Bacchanal Buffet,5
231,"Do they open on holidays, for instance.. thanksgiving day?",Bacchanal Buffet,5
232,Do they pull you onstage?,Absinthe,5
233,Do they really allow only one groupon per table?,Bacchanal Buffet,5
234,Do they serve King Crab legs everyday or just weekends & holidays?,Bacchanal Buffet,5
235,"Do they serve King crab legs or Oyster on Chrismas Brunch?
I want to plan my holiday trips! Thank you!",Bacchanal Buffet,5
236,Do they serve Smoked Salmon/Lox at dinner?,Bacchanal Buffet,5
237,Do they serve beer?,Little Miss BBQ,5
238,Do they serve bone marrows on weeknights?,Wicked Spoon,5
239,Do they serve bottomless champagne/ mimosas at this establishment?,Bacchanal Buffet,5
240,Do they serve breakfast all day?,HEXX kitchen + bar,5
241,Do they serve breakfast?,The Peppermill Restaurant & Fireside Lounge,5
242,"Do they serve crab legs all day or only
dinner time?",The Buffet at Bellagio,5
243,Do they serve crab legs and prime rib for brunch?,Wicked Spoon,5
244,Do they serve crab legs at Sunday brunch?,The Buffet at Bellagio,5
245,Do they serve crab legs during brunch?,Wicked Spoon,5
246,"Do they serve crab legs for Saturday brunch,  if they do, what kind?",Wicked Spoon,5
247,Do they serve crab legs for lunch and what time is lunch until?,Bacchanal Buffet,5
248,Do they serve crab legs on their morning/ brunch spread?,Bacchanal Buffet,5
249,Do they serve food 24/7 or just drinks?,The Peppermill Restaurant & Fireside Lounge,5
250,Do they serve hot lobster?,Bacchanal Buffet,5
251,Do they serve prime rib during brunch on weekends?,Bacchanal Buffet,5
252,Do they serve prime rib on lunch?,Bacchanal Buffet,5
253,Do they serve seafood during lunch on weekdays (like crab/shrimp?,Bacchanal Buffet,5
254,Do they still have Kobe beef and is it only at dinner?,The Buffet at Bellagio,5
255,"Do they still have a DJ at nights? the last time we were there, we didnt see any playing music.",The LINQ Hotel & Casino,5
256,"Do they still have the miso chilean sea bass?
Not the regular sea bass.  Chilean sea bass.",The Buffet at Bellagio,5
257,Do they still have the rib cap as of 5/23/19? Dont see it on their menu so was assuming no :(,Gordon Ramsay Steak,5
258,Do they still offer 200 points on that day get you a free buffet?,Studio B Buffet,5
259,Do they still offer KING crab legs?,Bacchanal Buffet,5
260,Do they still offer oysters for brunch?,Bacchanal Buffet,5
261,Do they still serve snow crab legs?,Wicked Spoon,5
262,Do they take reservations for brunch?,HEXX kitchen + bar,5
263,Do they take reservations?,Bacchanal Buffet,5
264,Do they take reservations?,Bachi Burger,5
265,Do they take reservations?,Gen Korean BBQ House,5
266,Do they take reservations?,Ichiza,5
267,Do they take reservations?,The Peppermill Restaurant & Fireside Lounge,5
268,Do they use MSG in the burgers or sauces?,Bachi Burger,5
269,Do they use MSG when preparing foods? I am allergic.,Gangnam Asian BBQ Dining,5
270,"Do they use MSG? If so, can we request no MSG?",Le Thai,5
271,Do they validate parking?,Gordon Ramsay Steak,5
272,Do they weigh you before you get on ? Or how do they know not to over pack the bubble?,High Roller,5
273,Do we need reservations?,Mon Ami Gabi,5
274,Do we need to make reservation if we want to sit at the bar for drinks and deserts?,Eiffel Tower,5
275,Do you cater?,Little Miss BBQ,5
276,Do you find Nora's kid friendly for a 7 year old and 15 month for Xmas dinner?,Nora's Italian Cuisine,5
277,Do you get a specific departure time? Or how long is the line at night?,High Roller,5
278,"Do you guys have corkage fees? If so, how much? Thank you",Citizen Public House,5
279,"Do you guys open on thanksgiving day?
11/23 thursday..
If open, business hours same?",Gen Korean BBQ House,5
280,Do you guys use creekstone beef?,Little Miss BBQ,5
281,Do you have a child price?,Gen Korean BBQ House,5
282,Do you have gluten free options available?,Carson Kitchen,5
283,Do you have gluten free pancakes?,HEXX kitchen + bar,5
284,Do you have gluten free pizza / items?,Secret Pizza,5
285,Do you have gluten free pizza?,Secret Pizza,5
286,Do you have high chairs or booster seats for the little ones?,Wicked Spoon,5
287,Do you have the express lane during Christmas?,Bacchanal Buffet,5
288,Do you have to have a reservation?,HEXX kitchen + bar,5
289,"Do you have to pay for wifi?  I saw there was a ""surcharge"" for wifi and internet on their website.",Westgate Las Vegas Resort & Casino,5
290,Do you have to pay to get to the top if you're having dinner?,Eiffel Tower,5
291,Do you have to pay to go up to have a drink? What about dinner is there a separate fee to get to the restaurant/bar?,Eiffel Tower,5
292,Do you need to make a reservation?,Studio B Buffet,5
293,Do you offer gluten-free options on your dinner menu?,HEXX kitchen + bar,5
294,"Do you offer traditional Chinese dishes like General Tso chicken, Sweet & Sour chicken, etc.?",Bacchanal Buffet,5
295,Do you pay resort fee at check-in or check-out? Does it have to be on a credit card or can it go on a debit card or cash instead?,The LINQ Hotel & Casino,5
296,Do you recommend going for lunch or dinner?,Bacchanal Buffet,5
297,Do you serve Creekstone Farms steaks? Checking if the steaks are halal certified.?,HEXX kitchen + bar,5
298,Do you serve alcoholic beverages 24/7?,The Peppermill Restaurant & Fireside Lounge,5
299,Do you serve bone marrow during Sunday brunch?,Bacchanal Buffet,5
300,Do you serve chawanmushi?,Ichiza,5
301,Do you serve crab legs during early morning brunch on saturday and Sunday?,Bacchanal Buffet,5
302,Do you serve meat from the Creekstone farm at this location?,Mon Ami Gabi,5
303,Do you still have happy hour? If so what time? Thanks!!!,Soho Japanese Restaurant,5
304,Do you take reservation for 20+?,Bacchanal Buffet,5
305,Do you take reservation for 20+?,Studio B Buffet,5
306,Do you take reservation for 20+?,Wicked Spoon,5
307,Do you take reservations for a party of 10?,Bacchanal Buffet,5
308,Do you take reservations?,Soho Japanese Restaurant,5
309,Does Bacchanal Buffet take reservations?,Bacchanal Buffet,5
310,Does Bally do any anniversary accommodations?,Bally's Las Vegas Hotel & Casino,5
311,Does Ballys still have the restaurant that serves a breakfast ? It used to be near the stairs going down to the shopping area.  The prices for breakfast at the Italian place are expensive.  Thanks,Bally's Las Vegas Hotel & Casino,5
312,"Does Beef Wellington come cut in half?
Is it always with a lobster tail?",Gordon Ramsay Steak,5
313,Does Belligo buffet have prime rib?,The Buffet at Bellagio,5
314,Does Hexx have a party vibe type of brunch on the weekends?,HEXX kitchen + bar,5
315,Does Joe's' have any vegan choices on their menu?,Joe's Farm Grill,5
316,Does LAVO have a party vibe brunch on the weekends?,LAVO Italian Restaurant & Lounge,5
317,Does Nora's offer any Vegan options?,Nora's Italian Cuisine,5
318,"Does STK offer a happy hour for food and cocktails? If so, which days and times? Where can we find the menu?",STK Las Vegas,5
319,Does Soho offer vegan options?,Soho Japanese Restaurant,5
320,"Does Studio B only serve lunch on the weekdays? Also, what kind of foods do you serve during lunch? I've been here several times before but only at dinner hours and it was super yummy, going here for my birthday with a big group next Monday.",Studio B Buffet,5
321,"Does anyone know if Groupons are valid 12/23 or 12/24? The fine print on Groupon doesn't specify. 
Thanks!",Bacchanal Buffet,5
322,Does anyone know if the linq shows football on sundays? Do thry have nfl sunday ticket?,The LINQ Hotel & Casino,5
323,Does anyone know if there's a wait time right now?,Studio B Buffet,5
324,"Does anyone know if they have a vegan and no added sugar option?  I am on an anti-inflammatory diet and those are no-nos for me.  Yes, I know gelato is made with milk, cream, and sugar, but you never know what someone can create.",Jean Philippe Patisserie,5
325,Does anyone know if they have prime rib and stone crab for lunch or brunch on week days ? we are coming tomorrow there . Thanks,Bacchanal Buffet,5
326,Does anyone know if they're open yet?,Lotus of Siam,5
327,"Does anyone know if we are able to go to ANY pool associated with ""M Life"" or MGM grand if we are hotel guests at MGM?",MGM Grand Hotel,5
328,Does anyone know the corkage fee if you bring a bottle?,Carnevino,5
329,Does anyone know the kids prices by age?,Bacchanal Buffet,5
330,Does anyone know the pricing for children? Would they be $98.00 also for the VIP?,Bacchanal Buffet,5
331,Does anyone know where the seafood is from? Shrimp? Crawfish?,Hot N Juicy Crawfish,5
332,"Does it open on Thursday, 11/23 (Thanksgiving Day)? Special hours? Thanks!",Bachi Burger,5
333,Does lobster tail are served regularly at dinner?,Bacchanal Buffet,5
334,"Does the ""early bird brunch"" offer crab legs/short ribs (i.e., fancier stuff that are offered for regular brunch and dinner)?",Bacchanal Buffet,5
335,Does the Bacchanal have luggage check? What's the best way to stow luggage if one is coming direct from the airport with no time to check in to our other hotel (not Cesar's).,Bacchanal Buffet,5
336,"Does the Westgate hold your luggage before checking in and after checking and out?
Any problems getting deposit hold returned?

Has anyone stayed in the premium room? That is my room type with my SW airlines vacation package. I like clean / comfy.",Westgate Las Vegas Resort & Casino,5
337,Does the bar/lounge area have dj or live music on Thursday nights?,HEXX kitchen + bar,5
338,Does the hotel have a gym?,The Signature at MGM Grand,5
339,"Does the hotel offer 2 queen beds? If not, I see on the pictures they have a sofa couch, does anyone know if it can be converted to a bed?",The Signature at MGM Grand,5
340,Does the jubilee executive suite one king have a tub in the room as well?,Bally's Las Vegas Hotel & Casino,5
341,Does the resort fee cover gym and pool access?,MGM Grand Hotel,5
342,Does the resort room have a strip view?,Bally's Las Vegas Hotel & Casino,5
343,Does the ride still go on if it's raining?,High Roller,5
344,Does the room have daily housekeeping i saw or misread on website that housekeeping is extra $$?,Bally's Las Vegas Hotel & Casino,5
345,Does the rooms have mini fridge?,Bally's Las Vegas Hotel & Casino,5
346,Does the weekday brunch menu change from 7:30 - onward? I am planning on going early and would like to experience the sliders and various lunch items that i've seen online as well as the dessert. Will I miss out on some lunch items if I go too early?,Bacchanal Buffet,5
347,"Does the weekday buffet have different menu options compared to weekends, particularly in the seafood?",Bacchanal Buffet,5
348,Does the weekend brunch buffet include bottomless cocktail choices?,Bacchanal Buffet,5
349,Does this Buffett offer king crab legs while reading reviews it appears you have to be diamond or higher total rewards member ? I hope that is not the case !,Bacchanal Buffet,5
350,Does this buffet still serve red velvet pancakes? Coming back there next week and It is my fav item there,Bacchanal Buffet,5
351,Does this place take reservations?,Lo-Lo's Chicken & Waffles,5
352,Does this restaurant allow children? The palace station oyster bar does not allow under 21.  Thanks in advance.,Oyster Bar,5
353,Does this restaurant serve the beef Wellington everyday or only on certain days of the week?,Gordon Ramsay Steak,5
354,Does this show have any nudity? I do not see it listed anywhere but want to be certain before purchasing tickets. Thanks for your help.,Cirque du Soleil - O,5
355,"Does wicked spoon have many
soy free and dairy free dishes in their buffet?",Wicked Spoon,5
356,Dogs allowed on patio?,Citizen Public House,5
357,"Dogs allowed? If so, any charges?",The LINQ Hotel & Casino,5
358,For a group of about 6 people (or any group of people) does everyone have to wait in line? How long would you approximate the line to be on a Saturday night around 5 or 6 pm?,Gaucho Parrilla Argentina,5
359,For foreigners Is it okay for bring my ID in my country?,Hakkasan Nightclub,5
360,For the seafood buffet I see they have chilled crab legs BUT do they have steamed crab legs.?,Studio B Buffet,5
361,"For the student discount, is that for the ride only or can it be used towards the happy half hour open bar?",High Roller,5
362,For their prime rib buffet do they still have some seafood like the crab legs?,Studio B Buffet,5
363,Free parking? At least within reasonable walking distance when you have a toddler. We're local but don't have ID's yet to get any free validation,Fremont Street Experience,5
364,Gluten free options?,Gaucho Parrilla Argentina,5
365,Going for my daughters 18th birthday? Can and should I make reservations?,Gen Korean BBQ House,5
