,question,business,answer,similarity,execution_time_in_sec,human_rating
11,Air conditioning inside the carriage?,High Roller,It has air conditioning to keep you cool.,0.6086981079560414,1.3195140361785889,
12,Air conditioning inside the carriage?,High Roller,"That's our only complaint, they have you standing outside waiting on the platform instead of inside in the air conditioning.",0.5860888579229545,1.3195140361785889,
13,Air conditioning inside the carriage?,High Roller,"Temperature controlled meaning it's air conditioned in the summer, and room temp in the winter.",0.5584506697299403,1.3195140361785889,
14,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning.,0.5511853056761773,1.3195140361785889,
15,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,0.9149185286254168,1.4053876399993896,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,0.8701898980977775,1.4053876399993896,4.0
17,All you can eat?,Gangnam Asian BBQ Dining,Come here and eat if you can!,0.8667780928353453,1.4053876399993896,2.0
18,All you can eat?,Gangnam Asian BBQ Dining,I used to only go to all you can eat bbq places.,0.8610943353665509,1.4053876399993896,2.0
19,All you can eat?,Gangnam Asian BBQ Dining,The place is not all you can eat.,0.8560980399966449,1.4053876399993896,4.0
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.8944064620022953,1.0982294082641602,
21,All you can eat?,Soho Japanese Restaurant,This is not All You Can Eat unless you have lots of money.,0.8459167070338549,1.0982294082641602,
22,All you can eat?,Soho Japanese Restaurant,This place is not all you can eat.,0.8415718117777747,1.0982294082641602,
23,All you can eat?,Soho Japanese Restaurant,(I have good taste... No all you can eat rolls here!,0.839976241600893,1.0982294082641602,
24,All you can eat?,Soho Japanese Restaurant,If you are looking for all you can eat or 50 different rolls and nigiri then this place is not for you.,0.8388072692639604,1.0982294082641602,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,If you plan on going make sure you plan ahead because it always a  line that takes about an hour plus but it is soooo worth the wait.,0.8329125862055158,1.2836720943450928,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"The line moves kind of slow so keep that in mind, but you will have the best meal in phoenix if you wait.",0.8308032417897087,1.2836720943450928,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"If you have a group that doesn't mind eating around 11-11:30, call in your order a few days in advance and you can pick it up before 11am.",0.8282138146241064,1.2836720943450928,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Clearly, the business is doing well, so why not help everyone out a little bit by providing shade to the people determined enough to wait 90+ minutes for your food?",0.8267614057241257,1.2836720943450928,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,It's well worth the wait in line if you go for lunch too.,0.8247286744248697,1.2836720943450928,
30,Any discount by showing your players card?,Studio B Buffet,"If you're a player, you can get a free buffet with your points, or discount coupons mailed to you.",0.7518221936163811,1.6319034099578855,
31,Any discount by showing your players card?,Studio B Buffet,"Note: if you're using a player's card to get a discount on the buffet price, everyone in the party needs one.",0.7443533096165436,1.6319034099578855,
32,Any discount by showing your players card?,Studio B Buffet,"Dissapointed you no longer get a discount with your player card, but at $15 for weekday lunch, it's a deal.",0.7411415301354357,1.6319034099578855,
33,Any discount by showing your players card?,Studio B Buffet,Make sure you get a player's card to get a $2 discount.,0.7411186234825571,1.6319034099578855,
34,Any discount by showing your players card?,Studio B Buffet,"If you sign up for the iMagine Rewards cards, you can get $2-5 discount off the 'already inexpensive' $17.95 regular buffet cost.",0.7401458952229059,1.6319034099578855,
35,Any dress code?,Eiffel Tower,There's a dress code.,0.8164662684024855,1.4170665740966797,4.0
36,Any dress code?,Eiffel Tower,There is a dress code.,0.8164662684024855,1.4170665740966797,4.0
37,Any dress code?,Eiffel Tower,"Also, there is a dress code.",0.7921613908192937,1.4170665740966797,4.0
38,Any dress code?,Eiffel Tower,There was no dress code??!,0.7689760270200304,1.4170665740966797,2.0
39,Any dress code?,Eiffel Tower,"So if you come for dinner, dress code!",0.7246467889599723,1.4170665740966797,5.0
40,Any food allergy menu?,Wicked Spoon,Also the chefs behind the food are helpful and extremely friendly (gluten allergies),0.6974848572594459,3.497588396072388,
41,Any food allergy menu?,Wicked Spoon,The food is not typical buffet food.,0.6826454200541945,3.497588396072388,
42,Any food allergy menu?,Wicked Spoon,"Also if you have a gluten allergy, the chef will walk around with you pointing out which dishes are gluten free.",0.679834751716103,3.497588396072388,
43,Any food allergy menu?,Wicked Spoon,"Food: 3.5/5    Plenty of food choices, they did have a good beef ribs, mac and cheese stations (to make your own) , asian food,  limited seafood selection, appetizers, sushi, and limited desserts selection.",0.6758048562389816,3.497588396072388,
44,Any food allergy menu?,Wicked Spoon,"You have your standard food stations-Japanese, Chinese, Carving station, Pasta, Pizza, and Flatbread, International, cold foods, breads, and salads, and on the far Right side of the dining room, Desserts and sweets.",0.6738184933537914,3.497588396072388,
45,Any gluten free accomodations?,Meat & Potatoes,"I have celiac Meat & Potatoes, you would thing they would have more options for gluten fee.",0.5350684696574219,1.3327209949493408,
46,Any gluten free accomodations?,Meat & Potatoes,"The staff was friendly and accommodating, and I can be a pain in the butt sometimes (gluten) so it was nice to feel taken-care of.",0.5284820265130883,1.3327209949493408,
47,Any gluten free accomodations?,Meat & Potatoes,"Philly made me a total food snob, which happens easily when you can eat any cuisine at any time on any street corner and have a great meal, whether it's $10 or $50.",0.5255550379339785,1.3327209949493408,
48,Any gluten free accomodations?,Meat & Potatoes,It's one of the most nutritious tasty treats you can give yourself.,0.5155850729869923,1.3327209949493408,
49,Any gluten free accomodations?,Meat & Potatoes,"Now I wasn't expecting a free meal, but they could have offered us a comped drink or dessert, but nothing was offered for the inconvenience of 2 incorrect meals.",0.5153625664195775,1.3327209949493408,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,"There was no child buffet pricing posted, so I guess they must charge the adult price for children over 4 years old - which seems very steep and unfair.",0.7466614791428335,2.285498142242432,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,What a rip-off--kids cost full price?,0.7297499814898667,2.285498142242432,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,Charging full price for kids over age 2 is ridiculous.,0.7207900296289884,2.285498142242432,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,No kids no senior pricing.,0.7164033898345852,2.285498142242432,
54,"Any kids pricing, between what age?",The Buffet at Bellagio,"His response was ""we can't put an age on it as some children of similar ages consume a lot of food"".",0.6995924149498521,2.285498142242432,
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"The portions are not as big as other Thai restaurants I usually go to so if you're planning to share at the table, keep that in mind!",0.8529386598806749,2.4031758308410645,
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"They aren't the best Thai restaurant in the US, as claimed, but it sure comes close.",0.8528685602014979,2.4031758308410645,
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"Judging from how full the restaurant was near closing time on a Sunday and the number of Thai people eating, they certainly are doing things right.",0.8433864826674647,2.4031758308410645,
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"It was obvious that the word is out about the fantastic food here at Lotus of Siam, so make reservations as early as you can to avoid being put on the waitlist.",0.8365435397603755,2.4031758308410645,
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"While the curries and other standards at Lotus are wonderful, I am sure, this is a special Thai restaurant that offers so much more, so do venture outside the usuals.",0.8353317490926254,2.4031758308410645,
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Also they have lots of vegetarian options if you're vegan or vegetarian.,0.8170800130950121,3.55342173576355,
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"They do vegan, vegetarian, gluten-free and tons of meat selection for we carnivores.",0.7799299794364052,3.55342173576355,
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"As a meat lover, I still find the veggie sandwich amazing!",0.7502890465510057,3.55342173576355,
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"The atmosphere is a classy, hipster type and the different types of food from snack dishes, to salad, sandwiches or real steak and desserts are there to make up for all the hassle you have to go through to get there.",0.7501530929081995,3.55342173576355,
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"If you are a meat lover, this place is a must  although they do have some vegetarian options.",0.7425842388388639,3.55342173576355,
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,We came for the Seafood Dinner Buffet that they have on Friday and Saturday nights.,0.8885123029774094,1.7140462398529053,2.0
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,"Note that on the weekend, they offer a seafood buffet that is priced at ~$40 for both brunch and dinner.",0.8323785070862951,1.7140462398529053,3.0
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,What a great dinner for my last night in Vegas before heading back to L.A. Dinner buffet was $30.,0.8303919301759369,1.7140462398529053,1.0
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,Had dinner at the Studio B Buffet on Mother's Day at around 5 p.m. We were a party of five and got there before the dinner rush.,0.8219181622486411,1.7140462398529053,1.0
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,"Dinner runs about $25 Monday - Thursday, weekend seafood ups the price by about $10.",0.8099220363973525,1.7140462398529053,4.0
70,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,The only purpose for my second visit was for a friends 21st birthday party after a guy working there (who will rename unnamed) said that we could get a table with 8 girls on a Sunday night.,0.8210558119104407,6.0379478931427,
71,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,"We arranged with a promoter to be on the VIP list to get in, and they wouldn't let us in because we were a group of 3 gay guys with no girls.",0.8017400075544375,6.0379478931427,
72,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,"A misunderstanding of what the guestlist rules were between the check-in lady and the promoter led my group of 4 girls to wait for 2 DAMN HOURS, and we lined up on time at 11.",0.7903127179267038,6.0379478931427,
73,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,Here's the thing about going clubbing on a 3 day weekend where everyone and their mom has decided that they want to go to Vegas - it's crowded as shit!,0.7847586969291036,6.0379478931427,
74,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,"We weren't planning to go clubbing on a Sunday night when we got approached by a promoter on the street who told us that we can get in for free, along with the guys we were with.",0.7845939697835305,6.0379478931427,
75,Any special menu items for the 4th of July 2018?,Studio B Buffet,No breakfast items in the buffet.,0.7081841977640809,1.6714131832122805,
76,Any special menu items for the 4th of July 2018?,Studio B Buffet,The casino was offering a $24.99 4th of July dinner menu.,0.7025211664714555,1.6714131832122805,
77,Any special menu items for the 4th of July 2018?,Studio B Buffet,"The buffet does have a large selection of items, but the quality of each item is not as delicious as when they first opened.",0.6970595896990407,1.6714131832122805,
78,Any special menu items for the 4th of July 2018?,Studio B Buffet,This review is for the dinner menu.,0.6915085454494795,1.6714131832122805,
79,Any special menu items for the 4th of July 2018?,Studio B Buffet,"During Christmas holidays the price is much higher claiming ""special"" menu.",0.6894048879760922,1.6714131832122805,
80,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,They had it down to a t. If you're looking for a great place to have a meal in Vegas I'd say this is in my top 3 recommendations!,0.8846517865551687,7.039935350418091,
81,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,"I MIGHT conisder coming back for lunch or dinner but with so many other, better options in Vegas that's probably not going to happen.",0.871236683607655,7.039935350418091,
82,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,"I'd say if you're trying to have a nice (but casual) meal while in Vegas, this is one of your better choices.",0.870781610963072,7.039935350418091,
83,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,"I also had a bloody mary which is easily  the best I had during our stay in Vegas... check it out, especially for breakfast or brunch.. you won't be disappointed!",0.8691383412089512,7.039935350418091,
84,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,"4 stars for service, ambiance and the dinner I had, wish I could tell you folks about more of the food there but will review it again next time I'm in Vegas.",0.8668677388950251,7.039935350418091,
85,Any vegetarian options?,Wicked Spoon,My friend is a vegetarian and there are a lot of vegetarian options!,0.7559860320900214,3.589634656906128,
86,Any vegetarian options?,Wicked Spoon,"Vegetarian Options: Out of all the buffets in Vegas, this one has the most vegan, vegetarian, and gluten free options.",0.7275675178017312,3.589634656906128,
87,Any vegetarian options?,Wicked Spoon,My only complaint would be the vegetarian options.,0.7269952814946252,3.589634656906128,
88,Any vegetarian options?,Wicked Spoon,Also could definitely do with more vegetarian options.,0.7251970542760041,3.589634656906128,
89,Any vegetarian options?,Wicked Spoon,"This may be a buffet for folks who prefer small plates formats and who like to have interesting vegetarian, even vegan, options in the mix.",0.7023418518163554,3.589634656906128,
90,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,He has been to the Fremont Street Experience before.,0.6800500096988257,1.1708929538726809,
91,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,We have been regular visitors to the Fremont Street Experience since it started.,0.6782707473920699,1.1708929538726809,
92,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,The actual Fremont experience has gotten better each time I come.,0.6748948028288322,1.1708929538726809,
93,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,I've been up here in Vegas since November 2014 and I visit the Fremont Street Experience every third week or so.,0.6656761295701202,1.1708929538726809,
94,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,Freemont is something that anyone who comes to Vegas should spend at least one evening at.,0.6642386589787006,1.1708929538726809,
95,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,"haha  
The shower head was so slow.. imagine if you're at home and your other family members are using the shower at the same time... everyone's fighting for the water flow.",0.8362800600469187,8.468537569046019,
96,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,"This is probably a good hotel to go to if you're interested in having a room close to the party, but it's not a very nice place to be in the afternoon.",0.8310012851114309,8.468537569046019,
97,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,"If it's for a few days and you could care less about sleeping and using all the fancy crap in the room, MGM is where you should book your place of stay.",0.8277690962640494,8.468537569046019,
98,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,"No bathroom in the room, there is a ""bath area"" - if you like to watch friends go number 2, then this is the place for you.",0.8272190071673298,8.468537569046019,
99,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,"The one knock that I have about the MGM is that it is so big, the walk from your room to the pools is a journey.",0.8269660115209733,8.468537569046019,
100,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,"Remember to register for tickets, do research on-line before you pay!",0.7430205631286322,1.2539937496185305,
101,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,"The website will tell you if you are getting ""splash"" tickets.",0.7333651037422463,1.2539937496185305,
102,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,We had tickets for a side/middle section (tickets about $110 or $120 each?),0.725836624822864,1.2539937496185305,
103,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,Check prices directly from the Bellagio website and look for the tickets offered at a 15% discount for certain showtimes.,0.7187667644174842,1.2539937496185305,
104,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,I was able to find a 25% discount on tickets for the 10:30 shows through the Bellagio website.,0.7138247671270713,1.2539937496185305,
105,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,There is way too much food for people to try on their first visit and it is $49.99 a person or $44.99 a person if you have the Total Rewards card.,0.8044276224889841,4.273734331130981,
106,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,"For anyone that doesn't know this buffet it's so busy that you oftentimes have to sign up via touch-screen kiosk for # of people in your party, time and then you get an estimated wait time.",0.7978405306287613,4.273734331130981,
107,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,"No so bad.... Also if you present your Rewards card, you got a discount $1 a person for lunch which is something.",0.7847998905250694,4.273734331130981,
108,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,Or ask the check in girl what it really  means.,0.7840640900096586,4.273734331130981,
109,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,It also helps if you know someone with one of those gold reward cards or whatever if you go during a busy time like Thanksgiving.,0.781202300143864,4.273734331130981,
110,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,"Like most tourist attractions, you can't bring your own food or drinks, even if it is Vegas where one could get intoxicated on the strip itself!",0.8839284114957761,1.332068920135498,
111,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,"You can buy drinks of any kind at the wheelhouse bar and carry your beverages onto the ride with you; I guess if you'd drink enough in 30 minutes to justify the extra $15 per person, then woot!",0.8821625413215607,1.332068920135498,
112,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,"They have it set up exactly like an amusement park/fair ride, but they have a bar you can get drinks from while you wait to get on or to take with you on the ride.",0.8802055965328779,1.332068920135498,
113,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,Everyone got anywhere from 3-5 drinks during the ride (you can bring one to go).,0.8729903184620864,1.332068920135498,
114,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,They have two options a happy hour ride where you have a bartender on there serving you drinks or just a regular ride but you can still bring your drink on with you.,0.8707539868191891,1.332068920135498,
115,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,If you tell them it's your birthday they also bring out a small ice cream dessert.,0.814852762811317,3.892724990844727,
116,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,"if you celebrate an anniversary or a birthday, they will offer you a dessert which is very kind of them.",0.8004803274646554,3.892724990844727,
117,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,They even brought me out a really tasty birthday dessert.,0.7923737135977221,3.892724990844727,
118,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,They did give us a good table and brought a free profiterole with ice cream and chocolate sauce for the birthday boy.,0.7914847330795541,3.892724990844727,
119,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,They brought him a small dessert with a candle (he didn't like us singing happy birthday lol).,0.7857718186234995,3.892724990844727,
120,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,"Adult Brunch on Sunday costs $43.99, but this includes bottomless mimosas (I don't think there is a way to waive the alcohol if you don't drink).",0.7899749336026449,4.462339401245117,
121,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,Don't order the bottomless drinks because the server never comes back to get you another drink I paid $15 for one small glass of wine.,0.7887725105632067,4.462339401245117,
122,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,The server ask and serve everyone around us but never ask us how we are doing or if I needed more drink.,0.7733171896690197,4.462339401245117,
123,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,"And as for the dessert bar, I don't even know what to say.",0.7728178137826891,4.462339401245117,
124,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,"Other buffets are $10+ less if you don't spring for the alcohol, and I wasn't drinking that weekend, so I was stuck having to pay for unlimited mimosas that I couldn't drink.",0.7676903090875423,4.462339401245117,
125,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,"As it is still under construction, the valet parking was not available.",0.7751595187456987,1.5203094482421875,
126,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,It was so complicated to get from the parking structure to the hotel.,0.7658035844105551,1.5203094482421875,
127,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,"The gym is TINY, and some areas are still under construction, the parking is just crap but then again who really drives anywhere once you park?",0.7620437666671253,1.5203094482421875,
128,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,"The promenade was fun, the bowling alley appears to be inside the hotel from all the commercial's etc but it is down the way, the pool is still being worked on and some other amenities still in construction.",0.7606253492325489,1.5203094482421875,
129,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,"For the parking structure, just enter where it says ""Harrahs entrance"" and follow the signs for the Linq.",0.7590926992284831,1.5203094482421875,
130,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"Then there's also a meat section with sausages, turkey breast, beef, lamb and etc.",0.7876016058026973,4.352840185165404,
131,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"The meat was better, the prime rib, lamb chops and Chinese BBQ pork were comparable to what you would get at most restaurants.",0.7710077236519114,4.352840185165404,
132,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,The meat stand was ok. Only the lamb chops are divine.,0.7628296080591092,4.352840185165404,
133,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,There were plenty of meat dishes and noodles but not a lot of roasted vegetables for those who aren't into meat and carbs.,0.7569833552295823,4.352840185165404,
134,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"2) Its got a meat (beef, pork, chicken, turkey) carving station to satisfy that man meat you been missing out on if that's what you fancy.",0.7530731682649284,4.352840185165404,
135,Are any of the beers gluten free?,Four Peaks Brewing,":(

They do have gluten free entrees marked on the menu, if you're GF.",0.7408580598443418,1.4302520751953125,
136,Are any of the beers gluten free?,Four Peaks Brewing,"No free dessert, beer, or anything.",0.7188699511466872,1.4302520751953125,
137,Are any of the beers gluten free?,Four Peaks Brewing,"Lively, attentive service staff, delicious beer, Bavarian pretzels to die for, *free wifi* if you're into that kind of thing.",0.7002890129853118,1.4302520751953125,
138,Are any of the beers gluten free?,Four Peaks Brewing,"Try any sandwich on a beer bread, and you will be in heaven.",0.6870792891766574,1.4302520751953125,
139,Are any of the beers gluten free?,Four Peaks Brewing,"I haven't tried the beer due to personal reasons but the cider was good - they have a full bar for those with food allergies/ sensitivities, so if you can't drink beer, don't be discouraged!",0.6841830654729758,1.4302520751953125,
140,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,"No, they didn't have crab legs at Firekeeper's, but most of the food, from steak, to the Chinese dishes, Mexican, other meats were as fresh as what you'd get from a sit-down restaurant.",0.8335954211450042,4.397553205490111,
141,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,"The food offerings were much better in the early days with actual steaks, but now they have the ""typical"" buffet meat items like prime rib and sausages.",0.8267133970329485,4.397553205490111,
142,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,"Not bad for all you can eat fresh seafood, steaks, ribs, and a bunch of other shit for $65.",0.8254409950140451,4.397553205490111,
143,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,I think to really made the dinner buffet worth it you gotta go with the seafood and BBQ and meats item which seem to be what separates Bacchanal from other buffets.,0.8251980600039179,4.397553205490111,
144,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,"In short, I wont be coming back to this buffet in the future, but my three stars goes to their dessert section, wagyu sliders, fried chicken with waffle, beef tacos, and may be couple of more other items.",0.8237332035964835,4.397553205490111,
145,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,Apparently they offer brunch.. and ONLY brunch until 4pm - which is when the dinner menu is out.,0.7529799672851677,2.84572982788086,
146,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,"Mostly, we wanted the bottomless mimosas for $23, served until 2 pm.",0.7529772507148146,2.84572982788086,
