,question,business,answer,similarity,execution_time_in_sec,human_rating
72,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,We arranged with a promoter to be on the VIP list to get in,0.8017400075544371,6.45719242095947,
73,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,too small and the club had too many tables,0.7952089265215041,6.45719242095947,
74,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,"I hate (no offense)

This place has potential - next time gotta check it out on a weekend (Fri or Sat)

Cost us $30/guy on Thurs",0.790361040224693,6.45719242095947,
75,Any special menu items for the 4th of July 2018?,Studio B Buffet,No breakfast items in the buffet.,0.7081841977640809,1.92350625991821,
76,Any special menu items for the 4th of July 2018?,Studio B Buffet,dinner menu,0.7025211664714549,1.92350625991821,
77,Any special menu items for the 4th of July 2018?,Studio B Buffet,The buffet does have a large selection of items,0.6970595896990409,1.92350625991821,
78,Any special menu items for the 4th of July 2018?,Studio B Buffet,dinner menu,0.691508545449479,1.92350625991821,
79,Any special menu items for the 4th of July 2018?,Studio B Buffet,much higher claiming,0.6894048879760921,1.92350625991821,
80,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,top 3 recommendations,0.8846517865551691,7.44194293022156,
81,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,D_____G.,0.8825398435831601,7.44194293022156,
82,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,another try for breakfast,0.877848304700998,7.44194293022156,
83,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,my wife had the blueberry french toast,0.87725056779753,7.44194293022156,
84,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,"Our whole table just gave each other """,0.8731176396862141,7.44194293022156,
85,Any vegetarian options?,Wicked Spoon,there are a lot of vegetarian options,0.7559860320900209,3.84837770462036,
86,Any vegetarian options?,Wicked Spoon,free options,0.7275675178017309,3.84837770462036,
87,Any vegetarian options?,Wicked Spoon,My only complaint would be the vegetarian options,0.7269952814946251,3.84837770462036,
88,Any vegetarian options?,Wicked Spoon,more vegetarian options,0.725197054276004,3.84837770462036,
89,Any vegetarian options?,Wicked Spoon,buffet for folks who prefer small plates formats,0.702341851816355,3.84837770462036,
90,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,He has been to the Fremont Street Experience before.,0.6800500096988261,1.49942374229431,
91,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,We have been regular visitors to the Fremont Street Experience,0.67827074739207,1.49942374229431,
92,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,gotten better each time I come.,0.674894802828832,1.49942374229431,
93,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,I visit the Fremont Street Experience every third week or so.,0.66567612957012,1.49942374229431,
94,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,anyone who comes to Vegas should spend at least one evening at,0.664238658978701,1.49942374229431,
95,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,to take us the 1/3 of a mile to our room from the Garage..,0.8446601257870391,8.78645253181458,
96,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,using the shower at the same time,0.8362800600469191,8.78645253181458,
97,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,you'll be happily drinking,0.834685040877366,8.78645253181458,
98,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,If you want an exclusive pool party were you have to spend $50-$100,0.832656167186698,8.78645253181458,
99,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,good hotel to go to if you're interested in having a room close to the party,0.8310012851114309,8.78645253181458,
100,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,Remember to register for tickets,0.743020563128632,1.50618433952332,
101,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,"The website will tell you if you are getting ""splash"" tickets",0.7333651037422461,1.50618433952332,
102,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,We had tickets for a side/middle section,0.725836624822864,1.50618433952332,
103,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,Check prices,0.718766764417484,1.50618433952332,
104,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,through the Bellagio website,0.7138247671270709,1.50618433952332,
105,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,too much food for people to try on their first visit and it is $49.99 a person or $44.99 a person if you have the Total Rewards card,0.804427622488984,4.76442098617554,
106,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,touch-screen kiosk,0.797840530628761,4.76442098617554,
107,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,"If you are a group or 5 or less, then you check in at a kiosk",0.7860202592652671,4.76442098617554,
108,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,$1 a person for lunch,0.784799890525069,4.76442098617554,
109,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,ask the check in girl,0.784064090009659,4.76442098617554,
110,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,you can't bring your own food or drinks,0.8839284114957758,1.62746453285217,
111,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,carry your beverages onto the ride with you,0.8821625413215609,1.62746453285217,
112,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,they have a bar you can get drinks from while you wait to get on or to take with you on the ride,0.880205596532878,1.62746453285217,
113,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,reading off the specialty drinks,0.873062396620543,1.62746453285217,
114,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,drinks during the ride,0.8729903184620859,1.62746453285217,
115,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,a small ice cream dessert,0.814852762811317,4.0786886215210005,
116,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,if you celebrate an anniversary or a birthday,0.800480327464655,4.0786886215210005,
117,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,birthday dessert,0.792373713597722,4.0786886215210005,
118,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,brought a free profiterole,0.7914847330795541,4.0786886215210005,
119,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,a small dessert with a candle,0.785771818623499,4.0786886215210005,
120,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,bottomless mimosas,0.7899749336026449,4.7698051929473895,
121,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,one small glass of wine,0.788772510563207,4.7698051929473895,
122,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,more drink,0.7733171896690201,4.7698051929473895,
123,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,"dessert bar, I don't even know what to say.",0.7728178137826891,4.7698051929473895,
124,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,trying to resist the urge to want to reach into your monitors and slap me silly for scoffing at the idea of AYCD champagne,0.770979993374856,4.7698051929473895,
125,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,under construction,0.7751595187456991,1.89187955856323,
126,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,get from the parking structure to the hotel,0.7658035844105551,1.89187955856323,
127,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,the parking is just crap but then again who really drives anywhere once you park,0.7620437666671249,1.89187955856323,
128,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,finding a space in the garage,0.761527375414021,1.89187955856323,
129,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,the pool is still being worked on and some other amenities still in construction,0.7606253492325491,1.89187955856323,
130,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"a meat section with sausages, turkey breast, beef, lamb and etc.",0.7876016058026971,4.74705052375793,
131,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"The meat was better, the prime rib, lamb chops and Chinese BBQ pork were comparable to what you would get at most restaurants",0.7710077236519108,4.74705052375793,
132,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,Only the lamb chops are divine.,0.762829608059109,4.74705052375793,
133,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,n't into meat and carbs,0.756983355229582,4.74705052375793,
134,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,Its got a meat,0.753073168264928,4.74705052375793,
135,Are any of the beers gluten free?,Four Peaks Brewing,gluten free entrees,0.740858059844342,1.75814533233643,
136,Are any of the beers gluten free?,Four Peaks Brewing,"No free dessert, beer, or anything",0.718869951146687,1.75814533233643,
137,Are any of the beers gluten free?,Four Peaks Brewing,*free wifi* if you're into that kind of thing,0.7002890129853121,1.75814533233643,
138,Are any of the beers gluten free?,Four Peaks Brewing,Try any sandwich on a beer bread,0.6870792891766571,1.75814533233643,
139,Are any of the beers gluten free?,Four Peaks Brewing,food allergies/ sensitivities,0.6841830654729761,1.75814533233643,
140,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,"most of the food, from steak, to the Chinese dishes, Mexican, other meats were as fresh as what you'd get from a sit-down restaurant",0.8335954211450041,4.79318356513977,
141,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,Cant wait till I'm back in Vegas bacchanal,0.8302199506042591,4.79318356513977,
142,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,go straight for the crab legs and prime rib and meats,0.829597118618235,4.79318356513977,
143,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,"if they are making them, stick to pork
-Soups- I usually never get soup at a buffet",0.827739451168935,4.79318356513977,
144,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,food offerings were much better in the early days with actual steaks,0.826713397032948,4.79318356513977,
145,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,offer brunch..,0.752979967285168,2.99913501739502,
146,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,"$23, served until 2 pm",0.7529772507148149,2.99913501739502,
147,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,available on saturdays and sundays!,0.751806484621846,2.99913501739502,
148,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,Signage out front claims this offering is available daily until 2 pm.,0.75072807543265,2.99913501739502,
149,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,if you only get good service,0.748630592092928,2.99913501739502,
150,Are brunch items the same as dinner?,Bacchanal Buffet,catch brunch menu items,0.8309911982193159,4.70165038108826,
151,Are brunch items the same as dinner?,Bacchanal Buffet,dinner items,0.812477608578067,4.70165038108826,
152,Are brunch items the same as dinner?,Bacchanal Buffet,Easter holiday priced brunch and dinner,0.801035523378973,4.70165038108826,
153,Are brunch items the same as dinner?,Bacchanal Buffet,They serve pretty much the same items for lunch and dinner,0.7990138585193319,4.70165038108826,
154,Are brunch items the same as dinner?,Bacchanal Buffet,"Just FYI, lunch and dinner have the same menu",0.7964908018958291,4.70165038108826,
155,Are crab legs on available Fri-Sun?,Studio B Buffet,I mean crab legs are crab legs.,0.808551775525983,3.56094026565552,
156,Are crab legs on available Fri-Sun?,Studio B Buffet,pre-cut,0.8067992244115458,3.56094026565552,
157,Are crab legs on available Fri-Sun?,Studio B Buffet,crab legs and shrimps,0.7688567838758679,3.56094026565552,
158,Are crab legs on available Fri-Sun?,Studio B Buffet,If there are crab legs,0.7685525318106391,3.56094026565552,
159,Are crab legs on available Fri-Sun?,Studio B Buffet,King crab legs are amazing.,0.757095559365937,3.56094026565552,
160,Are crab legs served during brunch?,Wicked Spoon,no crab legs or shrimp cocktails,0.8076231310982421,3.84631323814392,
161,Are crab legs served during brunch?,Wicked Spoon,Only the crab legs were for dinner,0.8051114986370121,3.84631323814392,
162,Are crab legs served during brunch?,Wicked Spoon,no crab legs,0.801325192780558,3.84631323814392,
163,Are crab legs served during brunch?,Wicked Spoon,Only cold crab legs are served at the Bacchanal.,0.7936341024252209,3.84631323814392,
164,Are crab legs served during brunch?,Wicked Spoon,$45,0.781200529268045,3.84631323814392,
165,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,Hot crab legs are served at the italian section,0.809163464901975,4.728880882263179,3.0
166,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,early morning.,0.8029519219997059,4.728880882263179,1.0
167,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,.,0.7914306781935009,4.728880882263179,1.0
168,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,technically brunch,0.788354658184757,4.728880882263179,1.0
169,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,Ate,0.7879485035758491,4.728880882263179,1.0
170,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,Went to the Wicked Spoon for the breakfast buffet early on a Sunday morning.,0.8187492563165321,3.934904098510741,
171,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,I ended up at the Wicked Spoon on Friday night for dinner and Sunday,0.8088506753366991,3.934904098510741,
172,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,We went for brunch on Saturday morning,0.8066321458423771,3.934904098510741,
173,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,during brunch.,0.7969998435410501,3.934904098510741,
174,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,I came here on a Sunday afternoon during lunch.,0.788973804946021,3.934904098510741,
175,"Are crab legs served here or has it been canceled, if so what days?",Wicked Spoon,ten bucks,0.845430363880012,3.91183233261108,
176,"Are crab legs served here or has it been canceled, if so what days?",Wicked Spoon,missed out on the crab legs,0.8441805806114421,3.91183233261108,
177,"Are crab legs served here or has it been canceled, if so what days?",Wicked Spoon,only snow crab legs,0.842670935760187,3.91183233261108,
178,"Are crab legs served here or has it been canceled, if so what days?",Wicked Spoon,the beignets were also dry,0.8422206808942321,3.91183233261108,
179,"Are crab legs served here or has it been canceled, if so what days?",Wicked Spoon,the section of all sections,0.841922172552381,3.91183233261108,
180,Are dogs allowed on Fremont street?,Fremont Street Experience,Fremont street is a must see.,0.736719580412822,1.40554904937744,
181,Are dogs allowed on Fremont street?,Fremont Street Experience,"walking through Fremont Street, you should head to the downtown area bars",0.732581451558149,1.40554904937744,
182,Are dogs allowed on Fremont street?,Fremont Street Experience,The lights on Freemont street were simply awesome.,0.7026908917390071,1.40554904937744,
183,Are dogs allowed on Fremont street?,Fremont Street Experience,lots of freaks out,0.696089940467763,1.40554904937744,
184,Are dogs allowed on Fremont street?,Fremont Street Experience,Stay,0.690771039582261,1.40554904937744,
185,Are dogs allowed?,Bally's Las Vegas Hotel & Casino,nice that we ran into other dog owners who brought their dogs,0.650410366487691,1.84659957885742,
186,Are dogs allowed?,Bally's Las Vegas Hotel & Casino,No outside drinks,0.634334116528814,1.84659957885742,
187,Are dogs allowed?,Bally's Las Vegas Hotel & Casino,regular rooms that allow dogs,0.623578014192105,1.84659957885742,
188,Are dogs allowed?,Bally's Las Vegas Hotel & Casino,Are you drunk mom,0.598504100234891,1.84659957885742,
189,Are dogs allowed?,Bally's Las Vegas Hotel & Casino,dog floor,0.5953420412067171,1.84659957885742,
190,Are dogs allowed?,Four Peaks Brewing,you a sissy or not?,0.6607418678649921,1.61808300018311,
191,Are dogs allowed?,Four Peaks Brewing,NOT a dog friendly patio- we get there and dogs need to be on the outside of the fence,0.630099494605513,1.61808300018311,
192,Are dogs allowed?,Four Peaks Brewing,Are you serious?,0.60120698208335,1.61808300018311,
193,Are dogs allowed?,Four Peaks Brewing,bring my dog,0.583252440456453,1.61808300018311,
194,Are dogs allowed?,Four Peaks Brewing,I just wish they would allow you to bring dogs on the patio,0.581077507327477,1.61808300018311,
195,Are drinks only served in the lounge? Can I have a drink with my food?,The Peppermill Restaurant & Fireside Lounge,drinks were awesome!,0.8592272798003701,2.06161880493164,
196,Are drinks only served in the lounge? Can I have a drink with my food?,The Peppermill Restaurant & Fireside Lounge,a long time to get our drinks,0.855493356661987,2.06161880493164,
197,Are drinks only served in the lounge? Can I have a drink with my food?,The Peppermill Restaurant & Fireside Lounge,I like the lounge to have a quiet drink,0.8551238233000671,2.06161880493164,
198,Are drinks only served in the lounge? Can I have a drink with my food?,The Peppermill Restaurant & Fireside Lounge,you can order food in the lounge,0.8472690996590991,2.06161880493164,
