answer,business_name,helpful,question
"Hello Lolita, 
It is dependent upon the promotion you have received. For more information please contact our Room Reservations team at: (877) 321-9966 or by email at RoomReservations@wynnlasvegas.com. Thank you.",The Buffet At Wynn,0,Are there any limitations to the buffet when you get a complimentary daily meal through the hotel?
It is 2 portions for a single order so you get the full Wellington ? the price doubles for 2 people so I believe you get 2 full servings. I would suggest though if you order this dish to ask for extra sauce. It really is that ? delicious.,Gordon Ramsay Steak - Temporarily Closed,2,I noticed the menu offers a wellington for 1 or 2 people. In the pictures some plates have 1/2 a wellington and others have two pieces. How many portions are in the serving for 1 person?
For one person you get the full Wellington.,Gordon Ramsay Steak - Temporarily Closed,1,I noticed the menu offers a wellington for 1 or 2 people. In the pictures some plates have 1/2 a wellington and others have two pieces. How many portions are in the serving for 1 person?
If you have the tasting menu then you will have only half portion but if you order it on the menu you get 2 pieces. The tasting menu is a 5 to 6 course dinner.,Gordon Ramsay Steak - Temporarily Closed,1,I noticed the menu offers a wellington for 1 or 2 people. In the pictures some plates have 1/2 a wellington and others have two pieces. How many portions are in the serving for 1 person?
It typically comes in one big piece but you may ask to have it cut in half or some guests just do it themselves. :),Gordon Ramsay Steak - Temporarily Closed,1,I noticed the menu offers a wellington for 1 or 2 people. In the pictures some plates have 1/2 a wellington and others have two pieces. How many portions are in the serving for 1 person?
1 Full Wellington per person. Half is from the tasting menu.,Gordon Ramsay Steak - Temporarily Closed,1,I noticed the menu offers a wellington for 1 or 2 people. In the pictures some plates have 1/2 a wellington and others have two pieces. How many portions are in the serving for 1 person?
No but the bar is looking away from everything,Eiffel Tower,0,Is there a fee to sit at the bar?
No fee but you may need reservations.,Eiffel Tower,0,Is there a fee to sit at the bar?
"No, and I think the bartender we had was named Matt and he was awesome. Fairly young and tall.",Eiffel Tower,0,Is there a fee to sit at the bar?
No. Just tell them you want to sit at the bar and you'll go right up. Views are good from bar area too!,Eiffel Tower,0,Is there a fee to sit at the bar?
"No fee, but I believe you still need reservations to even be inside the restaurant.",Eiffel Tower,0,Is there a fee to sit at the bar?
I encourage you to call and inquire if you hadn't done so.,Bally's Las Vegas Hotel & Casino - Temporarily Closed,0,Do they do anything special for anniversary's?
"Nope, they are one of the cheaper casinos. They don't have anything offered",Bally's Las Vegas Hotel & Casino - Temporarily Closed,0,Do they do anything special for anniversary's?
It's Vegas everyone is celebrating something usually. Wouldn't hurt asking but most places don't do much.,Bally's Las Vegas Hotel & Casino - Temporarily Closed,0,Do they do anything special for anniversary's?
Yes,Bacchanal Buffet - Temporarily Closed,0,Are crab legs served during early morning brunch on Saturday and Sunday?
"Hello Leanne, 
We currently do not have pricing for that weekend. Please check back in a few weeks when we are closer to the date. Thank you.",The Buffet At Wynn,0,How much will dinner buffet be on 2/15/19 (President's Day weekend)?
Ya except I was home all day wasn't I,The Buffet At Wynn,0,How much will dinner buffet be on 2/15/19 (President's Day weekend)?
Yes it's a special block party for that area they close down all the shops and everything you must be over 21 years of age to enter after certain time on first Fridays and security is very tight!,Fremont Street Experience,0,What happens after 9 pm the 1st Friday of the month?
"Fremont St. is only accessible by those 21 and older after 9 or 10 pm on the 1st Friday of the month.  Not sure what the occasion is, but it gets very crowded.  security is tight and there is a huge police presence.",Fremont Street Experience,0,What happens after 9 pm the 1st Friday of the month?
There is water in coolers that are self serve,Little Miss BBQ,0,Can you have a couple beverages while waiting in line like you can at Franklins?
Well I am a diamond so my wait was almost an hour and a half. Some of those people look like they were in line for about two hours though. But I also went during Memorial day weekend. So your wait might be shorter,Bacchanal Buffet - Temporarily Closed,0,How long would the wait usually be on a weekday for dinner?
2 hours at least. Unless you call ahead of time and pay for your ticket to get in. Then you would be waiting in a separate line which is not to long of a wait.,Bacchanal Buffet - Temporarily Closed,0,How long would the wait usually be on a weekday for dinner?
"It didn't take us that long maybe 45 minutes, depends what time you go I guess. Later you wait the longer you wait. go eat dinner at 5:00 you should be great.",Bacchanal Buffet - Temporarily Closed,0,How long would the wait usually be on a weekday for dinner?
Hour to hour and a half. There's a wait to pay and then there's another wait to get a table,Bacchanal Buffet - Temporarily Closed,0,How long would the wait usually be on a weekday for dinner?
"Approximately 30 mins but you can pay for express line, not sure how much....

PS, thank you not to asked stupid question which so many people on here do it.",Bacchanal Buffet - Temporarily Closed,0,How long would the wait usually be on a weekday for dinner?
There is a child's price for 10 and under. I am not sure if it applies to the VIP.,Bacchanal Buffet - Temporarily Closed,0,Does anyone know the pricing for children? Would they be $98.00 also for the VIP?
No strict code. People were dressed from shorts to suits. Whatever your attire is fine.,Gordon Ramsay Steak - Temporarily Closed,7,Is there a strict dress code?
No! My friend and I went in for dinner around 6 in jeans and sandals.,Gordon Ramsay Steak - Temporarily Closed,5,Is there a strict dress code?
I dressed up and the majority of people were dresses up.... It's a pricey menu so whenever it's Pricey I dress for the Occasion,Gordon Ramsay Steak - Temporarily Closed,2,Is there a strict dress code?
No there isn't. I saw people in shorts and flip flops. I thought there would be so I wore a nice dress.,Gordon Ramsay Steak - Temporarily Closed,2,Is there a strict dress code?
"No.  When we asked, guys cannot wear tank tops.  That was about it.  Shorts, jeans, etc are ok.",Gordon Ramsay Steak - Temporarily Closed,2,Is there a strict dress code?
Definitely! And you have to make reservations at least 24 hours in advance. Good luck!,HEXX kitchen + bar,1,Is making a reservation recommended for sundays?
"Most definitely! If you’re reserving for brunch and don’t see the time you are looking for, trying reserving at Hexx’s sister property Alexxa’s which is next door and shares the same fabulous brunch menu.",HEXX kitchen + bar,1,Is making a reservation recommended for sundays?
"Yes...but if you get there early you are fine, but I always make reservations.  Bar has walk-ups",HEXX kitchen + bar,0,Is making a reservation recommended for sundays?
"Umm no but it's always around $10 bucks more expensive on the weekends and it's not because of the fight! You will probably experience looooong lines if your not a platinum,diamond member which they have there own lines compared to the public lines which goes on forever it seems to get in.
Brunch: $39.99, Monday - Friday; $49.99, Saturday - Sunday
Dinner: $54.99, Monday - Thursday; $57.99, Friday - Sundays",Bacchanal Buffet - Temporarily Closed,2,"If there is a Mayweather fight that weekend, will we be charged holiday pricing?"
"No. Regular weekend pricing this weekend, but we are closed for Sunday Brunch. We have a private event until about 1pm. Next weekend (Sept 1st - 4th) is Labor Day... We will have a wonderful holiday menu then.",Bacchanal Buffet - Temporarily Closed,1,"If there is a Mayweather fight that weekend, will we be charged holiday pricing?"
"Set prices for weekends and weekdays.  Fight or holiday does not matter.

Watch my video - https://www.youtube.com/watch?v=PcHidEy3lA4",Bacchanal Buffet - Temporarily Closed,1,"If there is a Mayweather fight that weekend, will we be charged holiday pricing?"
"Yes, there will be live music at Alexxa’s Bar which is the bar/lounge connected to Hexx Thursday-Sunday",HEXX kitchen + bar,1,Does the bar/lounge area have dj or live music on Thursday nights?
I don't think so..,HEXX kitchen + bar,0,Does the bar/lounge area have dj or live music on Thursday nights?
Alexxa's Bar has the live music.  Consult the website for a schedule of events and upcoming shows.,HEXX kitchen + bar,0,Does the bar/lounge area have dj or live music on Thursday nights?
It was available during lunch 11am onwards.,Bacchanal Buffet - Temporarily Closed,0,I am looking forward to the bone marrow here. Some reviews saying some times it's not available. When is it available? How can I ensure ahead of time before going?
"This is one of the most popular buffets in Vegas, so you will not need to worry about old food.",Bacchanal Buffet - Temporarily Closed,0,If we go around 8pm will everything still be fresh and will all the food still be there or will they run out of some stuff?
The food is always fresh.  They rotate and refill constantly.  Enjoy!!,Bacchanal Buffet - Temporarily Closed,0,If we go around 8pm will everything still be fresh and will all the food still be there or will they run out of some stuff?
Guaranteed to be fresh and ample,Bacchanal Buffet - Temporarily Closed,0,If we go around 8pm will everything still be fresh and will all the food still be there or will they run out of some stuff?
"I'm pretty sure everyone pays the same, but here is the number if you'd like to call (702) 731-7928",Bacchanal Buffet - Temporarily Closed,0,What are the prices for kids?
Free I believe,Bacchanal Buffet - Temporarily Closed,0,What are the prices for kids?
Free!,Bacchanal Buffet - Temporarily Closed,1,What are the prices for children 5 and under?
Free I believe,Bacchanal Buffet - Temporarily Closed,0,What are the prices for children 5 and under?
"We have a two hour dining limit. If your time in allows you to get to dinner, your more then welcome to stay.",Bacchanal Buffet - Temporarily Closed,0,Can you stay from brunch to dinner?
"It's on LAS VEGAS BLVD. which is the strip but it's down a few miles from the main concentration of casinos, past Mandalay Bay. The M Resort is after it, even a little further down. It is one of the most well liked casinos in Las Vegas and perfect because it's removed enough from the chaos of the heart of Vegas but close enough to get right back in it when you want to.","South Point Hotel, Casino & Spa",6,Is it in the strip?
No it's about 6 miles south of the strip. Right next to the I-15 freeway and Las Vegas Blvd. It a very nice casino & hotel. They have bus service to the strip just out front of casino. There is no charge for parking. The strip charges for parking Hotel guests & visitors all pay for parking.,"South Point Hotel, Casino & Spa",4,Is it in the strip?
"Yes, but on the very south end and not near the other Strip Hotels (est. 4 miles south).","South Point Hotel, Casino & Spa",3,Is it in the strip?
"No. 8.1 miles, 13 minutes","South Point Hotel, Casino & Spa",2,Is it in the strip?
"No, this is about 10 minutes off the strip, but a very short car ride or Uber to the strip.","South Point Hotel, Casino & Spa",2,Is it in the strip?
Two cup standard.,The Signature at MGM Grand,1,We are staying at the Mgm grand Signature and it shows coffee makers. Can anyone advise if it is like at home 8-10 cups or is it a single cup maker?
"The one we had was a single serve variety, but I feel like they could swap it for a bigger one if you asked.",The Signature at MGM Grand,1,We are staying at the Mgm grand Signature and it shows coffee makers. Can anyone advise if it is like at home 8-10 cups or is it a single cup maker?
"Hello Sheri, from what I recall, the coffee makers are standard single cup.",The Signature at MGM Grand,0,We are staying at the Mgm grand Signature and it shows coffee makers. Can anyone advise if it is like at home 8-10 cups or is it a single cup maker?
"I don't think it's 8-10 but maybe max 2-3 cups? Also, there is Starbucks located near tower 1, if all else fails.",The Signature at MGM Grand,0,We are staying at the Mgm grand Signature and it shows coffee makers. Can anyone advise if it is like at home 8-10 cups or is it a single cup maker?
It's a two cup coffee maker.   But there is Starbucks in Tower 1 and Delights in Tower 2.,The Signature at MGM Grand,0,We are staying at the Mgm grand Signature and it shows coffee makers. Can anyone advise if it is like at home 8-10 cups or is it a single cup maker?
Absolutely! We never close. :),El Dorado Cantina - Las Vegas Strip,0,Are you open Christmas Eve?
"Hello Jennifer,

Thank you for reaching out to us! We charge kids by height. Kids 40 Inches or shorter eat free. Kids between 40 inches and 50 inches are charged $9.99. Kids taller than 50 inches are charged full price.

Sincerely,

Gen Team",Gen Korean BBQ House,1,Do kids eat free?
Above average prices. Steak ranges from $50-$65. Cocktails I believe were around $20,STK Las Vegas,2,How expensive is this place?
"Yes, 4 of us, two bottles of moderately priced wine, four entrees,  $700.00. I felt for the level of service and quality of food, a big Flat tire.",STK Las Vegas,1,How expensive is this place?
It's a little pricey but worth it. Very fun place.,STK Las Vegas,0,How expensive is this place?
About an $100 a person with one drink.,STK Las Vegas,0,How expensive is this place?
For two people depending on the drinks about $300-400,STK Las Vegas,0,How expensive is this place?
$5 per person,Red,0,What's the cover?
"Kids under 4 free

Brunch Times: Monday – Friday 7:30am-3pm
Brunch Cost: $39.99
Children 5-10: $19.99

Weekend Brunch Times: Saturday – Sunday 8am-3pm
Brunch Cost: $59.99
Children 5-10: $29.99

Dinner Times: Monday – Thursday 3pm-10pm
Dinner Cost: $54.99
Children 5-10: $27.50

Weekend Dinner Times: Friday – Sunday 3pm-10pm
Dinner Cost: $64.99
Children 5-10: $32.50

All You Can Drink: Draft Beer, House Red or White Wine, Mimosas, Champagne
Cost: $15.00",Bacchanal Buffet - Temporarily Closed,1,How much for kids?
"Weekday Dinner $54.99
(Mon-Thur)

Weekend Dinner $57.99
(Fri-Sun)

from the website",Bacchanal Buffet - Temporarily Closed,7,Hi. What is the cost for the dinner buffet?
$57.99 per person on a weeknight not including tax or tip,Bacchanal Buffet - Temporarily Closed,7,Hi. What is the cost for the dinner buffet?
"Dear Laura S ,

Prime rib is not served during lunch hours, we start serving prime rib from 3pm.

Thank you
Kevin D.
Assistant Manager Buffet",The Buffet at Bellagio - Temporarily Closed,1,Is prime rib at the lunch buffet?
Not when I went in Feb,The Buffet at Bellagio - Temporarily Closed,0,Is prime rib at the lunch buffet?
"I was there at the dinner time,  obviously  they had it.",The Buffet at Bellagio - Temporarily Closed,0,Is prime rib at the lunch buffet?
"Couple of times I was there during lunch, Yes.",The Buffet at Bellagio - Temporarily Closed,0,Is prime rib at the lunch buffet?
Go to the club desk between the deli and baby cakes and sign up for the rewards card. It's the same card at the M and Tropicana called he marquee card. (It's used to track your points for gambling and they will send you offers for free rooms and game play. Sometimes even free bottles or liquor and other gifts). It's free and takes only a min to sign up w your state approved ID. Once at the Buffett you show you cali DL and the Marquee card that's it! Each time you scan your marquee card you also become more likely to receive discounts on buffets and other free food. Worth using their card. Often out of state will get perks like free night stay so you come back. Another cool hint M will shuttle you free to Tropicana (their other property) so need to drink and drive and save money on uber/ lyft,Studio B Buffet,7,"The $5 off for  california residents, do u also need to show Marquee club propf? What is that and is there price to obtain it?"
Yes they ask for California I.D. and your Marquee rewards card for the $5 off.,Studio B Buffet,5,"The $5 off for  california residents, do u also need to show Marquee club propf? What is that and is there price to obtain it?"
"The Marquee rewards card is free and it has to match your CA i.d. in order for the $5 discount. So each individual must have one for the discount, if not then it's full price.",Studio B Buffet,4,"The $5 off for  california residents, do u also need to show Marquee club propf? What is that and is there price to obtain it?"
Is this still valid?,Studio B Buffet,0,"The $5 off for  california residents, do u also need to show Marquee club propf? What is that and is there price to obtain it?"
A qz,Studio B Buffet,0,"The $5 off for  california residents, do u also need to show Marquee club propf? What is that and is there price to obtain it?"
"No. I've been ther twice in the last year. Both stays were 6 days and I actually switched room during both says bevause of different people coming and going. Never had any issues with any of the rooms. I try to go to Vegas once a year and Hooter's is typically my go-to place to stay because of location, price, and quality.",Hooters Casino Hotel Las Vegas,3,Has anyone had any bed bug problems or other issues in the last year?
"I cannot speak for all the other people who have checked into and out of Hooters in Las Vegas.
For Myself, having used the hotel many times in the last few years, I am very happy with the hotel and facilities. I especially enjoy that parking is so easy, and the ability to get to your room after you parks is short and not a labyrinth. I will gladly stay there again.",Hooters Casino Hotel Las Vegas,1,Has anyone had any bed bug problems or other issues in the last year?
"No bedbugs in my stay.  Stayed there Feb 2018 
Just problems with room. Shower leaked into bedroom carpet and weird ""glue"" from the shower corners got everywhere. I was Not happy with room quality.",Hooters Casino Hotel Las Vegas,0,Has anyone had any bed bug problems or other issues in the last year?
"I haven't, but my coworker who stayed in on an adjacent floor did. He didn't think it was worth the value",Hooters Casino Hotel Las Vegas,0,Has anyone had any bed bug problems or other issues in the last year?
"No issues here. Not saying it couldn't happen, but it didn't happen to me.",Hooters Casino Hotel Las Vegas,0,Has anyone had any bed bug problems or other issues in the last year?
Lobster,STK Las Vegas,0,What is included in chefs tasting?
"No they only charge resort fees for each night, unless your a diamonds reward player..",Bally's Las Vegas Hotel & Casino - Temporarily Closed,5,I know that Bally's resort fee is entailed of 'per night' but do they also charge that for *each guest*?
"No, it's per room. Don't forget that there is a room depidit as well.",Bally's Las Vegas Hotel & Casino - Temporarily Closed,3,I know that Bally's resort fee is entailed of 'per night' but do they also charge that for *each guest*?
"Same as above.  Resort fee is per night, not per guest.",Bally's Las Vegas Hotel & Casino - Temporarily Closed,2,I know that Bally's resort fee is entailed of 'per night' but do they also charge that for *each guest*?
Agree with all those above!,Bally's Las Vegas Hotel & Casino - Temporarily Closed,1,I know that Bally's resort fee is entailed of 'per night' but do they also charge that for *each guest*?
"The resort fee is about$ 34 per night! Not for each quest!As for the deposit, which is around $50 a night! You can use cash and use it to order stuff off the room. Also, you can get the cash right back when you check out! With a credit card you will wait weeks for your return!",Bally's Las Vegas Hotel & Casino - Temporarily Closed,1,I know that Bally's resort fee is entailed of 'per night' but do they also charge that for *each guest*?
"Nope, I consider myself pretty conservative and I would bring my 7 year olds to see it with no problem.  As mentioned previously, ones guys outfit for a routine is kinda like a thong in the back and you can see his but cheeks on occasion when he spins around, but it's not done in an erotic way and lasts for a very short period of time.",Cirque du Soleil - O,7,Does this show have any nudity? I do not see it listed anywhere but want to be certain before purchasing tickets. Thanks for your help.
This show doesn't. The only nudity Cirque du Soleil show in Las Vegas is Zumanity at New York New York.,Cirque du Soleil - O,2,Does this show have any nudity? I do not see it listed anywhere but want to be certain before purchasing tickets. Thanks for your help.
No nudity,Cirque du Soleil - O,1,Does this show have any nudity? I do not see it listed anywhere but want to be certain before purchasing tickets. Thanks for your help.
"No, there is no nudity in this show.",Cirque du Soleil - O,1,Does this show have any nudity? I do not see it listed anywhere but want to be certain before purchasing tickets. Thanks for your help.
There is no nudity in O,Cirque du Soleil - O,1,Does this show have any nudity? I do not see it listed anywhere but want to be certain before purchasing tickets. Thanks for your help.
"Reservations are not required but are always encouraged as wait times can be long, especially during brunch hours.",HEXX kitchen + bar,1,Do you have to have a reservation?
"since hakkasan is INSIDE mgm, i would coat check at mgm front desk instead of at hakkasan where it's super hectic. just my two cents =)",Hakkasan Nightclub-Temporarily Closed,1,Is there a coat check?
ALWAYS all you can drink.,Studio B Buffet,1,Is it still all you can drink for the prime rib brunch on a Friday?
Yes as Cynthia said all you can drink always,Studio B Buffet,0,Is it still all you can drink for the prime rib brunch on a Friday?
Yup! All you can drink wine and champagne,Studio B Buffet,0,Is it still all you can drink for the prime rib brunch on a Friday?
Sorry I did not go on Fri. I think unlimited drink always included on any day.,Studio B Buffet,0,Is it still all you can drink for the prime rib brunch on a Friday?
No u have to crack them yourself,Bacchanal Buffet - Temporarily Closed,2,Are the steamed crab legs also pre-cracked?
They are not and quite a bit of work. But they do make these worth less incisions and you can ask for the crab tool,Bacchanal Buffet - Temporarily Closed,1,Are the steamed crab legs also pre-cracked?
My snow crab legs were cut in half lengthwise. The stone crab claws were not cracked. We didn't have king crab.,Bacchanal Buffet - Temporarily Closed,1,Are the steamed crab legs also pre-cracked?
The snow crab legs are scored so that they can be easily cracked by hand. The king crab legs are pre-cut in half length wise. We serve a mix of both in the chilled and steamed crab stations. Thank you.,Bacchanal Buffet - Temporarily Closed,0,Are the steamed crab legs also pre-cracked?
"Kings Crab Legs are cut down the middle, length wise.",Bacchanal Buffet - Temporarily Closed,0,Are the steamed crab legs also pre-cracked?
"Right now if you use Groupon the brunch is $88 for two with 2 drinks but they limit to mimosa, beer or wine.  I tried to get something else, no go. You have to be paid and in line by 10:30 am

Early bird dinner is $110 M-Th 3p to 5p with two drinks.  It's early but the price it great.

Both options have VIP line access which depends on the day really helps.  Regular prices are about $80 to $100 pp.  check the website.",Bacchanal Buffet - Temporarily Closed,1,"I want go tuesday brunch Buffet 
How much is it?? 
Brunch and dinner plz let me know"
